Id,overall qual,overall cond,gr liv area,garage area,kitchen abvgr,overall qual^2,overall qual overall cond,overall qual gr liv area,overall qual garage area,overall qual kitchen abvgr,overall cond^2,overall cond gr liv area,overall cond garage area,overall cond kitchen abvgr,gr liv area^2,gr liv area garage area,gr liv area kitchen abvgr,garage area^2,garage area kitchen abvgr,kitchen abvgr^2,saleprice
109,6.0,8.0,1479.0,475.0,1.0,36.0,48.0,8874.0,2850.0,6.0,64.0,11832.0,3800.0,8.0,2187441.0,702525.0,1479.0,225625.0,475.0,1.0,130500
544,7.0,5.0,2122.0,559.0,1.0,49.0,35.0,14854.0,3913.0,7.0,25.0,10610.0,2795.0,5.0,4502884.0,1186198.0,2122.0,312481.0,559.0,1.0,220000
153,5.0,7.0,1057.0,246.0,1.0,25.0,35.0,5285.0,1230.0,5.0,49.0,7399.0,1722.0,7.0,1117249.0,260022.0,1057.0,60516.0,246.0,1.0,109000
318,5.0,5.0,1444.0,400.0,1.0,25.0,25.0,7220.0,2000.0,5.0,25.0,7220.0,2000.0,5.0,2085136.0,577600.0,1444.0,160000.0,400.0,1.0,174000
255,6.0,8.0,1445.0,484.0,1.0,36.0,48.0,8670.0,2904.0,6.0,64.0,11560.0,3872.0,8.0,2088025.0,699380.0,1445.0,234256.0,484.0,1.0,138500
138,6.0,6.0,1888.0,578.0,1.0,36.0,36.0,11328.0,3468.0,6.0,36.0,11328.0,3468.0,6.0,3564544.0,1091264.0,1888.0,334084.0,578.0,1.0,190000
2827,6.0,5.0,1072.0,525.0,1.0,36.0,30.0,6432.0,3150.0,6.0,25.0,5360.0,2625.0,5.0,1149184.0,562800.0,1072.0,275625.0,525.0,1.0,140000
145,5.0,5.0,1188.0,531.0,1.0,25.0,25.0,5940.0,2655.0,5.0,25.0,5940.0,2655.0,5.0,1411344.0,630828.0,1188.0,281961.0,531.0,1.0,142000
1942,5.0,5.0,924.0,420.0,1.0,25.0,25.0,4620.0,2100.0,5.0,25.0,4620.0,2100.0,5.0,853776.0,388080.0,924.0,176400.0,420.0,1.0,112500
1956,5.0,5.0,2080.0,504.0,1.0,25.0,25.0,10400.0,2520.0,5.0,25.0,10400.0,2520.0,5.0,4326400.0,1048320.0,2080.0,254016.0,504.0,1.0,135000
1044,6.0,5.0,987.0,264.0,1.0,36.0,30.0,5922.0,1584.0,6.0,25.0,4935.0,1320.0,5.0,974169.0,260568.0,987.0,69696.0,264.0,1.0,85400
2752,7.0,5.0,1208.0,632.0,1.0,49.0,35.0,8456.0,4424.0,7.0,25.0,6040.0,3160.0,5.0,1459264.0,763456.0,1208.0,399424.0,632.0,1.0,183600
807,5.0,7.0,2016.0,576.0,1.0,25.0,35.0,10080.0,2880.0,5.0,49.0,14112.0,4032.0,7.0,4064256.0,1161216.0,2016.0,331776.0,576.0,1.0,131000
1177,8.0,5.0,1607.0,480.0,1.0,64.0,40.0,12856.0,3840.0,8.0,25.0,8035.0,2400.0,5.0,2582449.0,771360.0,1607.0,230400.0,480.0,1.0,200000
1480,7.0,5.0,1361.0,610.0,1.0,49.0,35.0,9527.0,4270.0,7.0,25.0,6805.0,3050.0,5.0,1852321.0,830210.0,1361.0,372100.0,610.0,1.0,193000
324,5.0,5.0,1430.0,624.0,1.0,25.0,25.0,7150.0,3120.0,5.0,25.0,7150.0,3120.0,5.0,2044900.0,892320.0,1430.0,389376.0,624.0,1.0,173500
1311,5.0,5.0,1344.0,513.0,1.0,25.0,25.0,6720.0,2565.0,5.0,25.0,6720.0,2565.0,5.0,1806336.0,689472.0,1344.0,263169.0,513.0,1.0,98000
770,5.0,6.0,1121.0,480.0,1.0,25.0,30.0,5605.0,2400.0,5.0,36.0,6726.0,2880.0,6.0,1256641.0,538080.0,1121.0,230400.0,480.0,1.0,139000
2063,6.0,5.0,1285.0,528.0,1.0,36.0,30.0,7710.0,3168.0,6.0,25.0,6425.0,2640.0,5.0,1651225.0,678480.0,1285.0,278784.0,528.0,1.0,143500
69,7.0,5.0,1547.0,614.0,1.0,49.0,35.0,10829.0,4298.0,7.0,25.0,7735.0,3070.0,5.0,2393209.0,949858.0,1547.0,376996.0,614.0,1.0,215200
2062,5.0,5.0,894.0,450.0,1.0,25.0,25.0,4470.0,2250.0,5.0,25.0,4470.0,2250.0,5.0,799236.0,402300.0,894.0,202500.0,450.0,1.0,129000
351,8.0,5.0,1659.0,499.0,1.0,64.0,40.0,13272.0,3992.0,8.0,25.0,8295.0,2495.0,5.0,2752281.0,827841.0,1659.0,249001.0,499.0,1.0,278000
2393,8.0,5.0,2253.0,575.0,1.0,64.0,40.0,18024.0,4600.0,8.0,25.0,11265.0,2875.0,5.0,5076009.0,1295475.0,2253.0,330625.0,575.0,1.0,344133
12,6.0,7.0,1187.0,420.0,1.0,36.0,42.0,7122.0,2520.0,6.0,49.0,8309.0,2940.0,7.0,1408969.0,498540.0,1187.0,176400.0,420.0,1.0,185000
